LECROYWR104MXi-A/Å	50479	Waveform
Segments	1	SegmentSize	1002
Segment	TrigTime	TimeSinceSegment1
#1	22-Sep-2010 20:29:25	0                 
Time	Ampl
-1.00198e-007	-0.000639975
-9.99976e-008	-0.000799969
-9.97976e-008	0.000159994
-9.95976e-008	-0.000479982
-9.93976e-008	-0.000639975
-9.91976e-008	-0.000479982
-9.89976e-008	-0.000639975
-9.87976e-008	-0.000319988
-9.85976e-008	-0.000319988
-9.83976e-008	-0.000319988
-9.81976e-008	0
-9.79976e-008	-0.000319988
-9.77976e-008	-0.000319988
-9.75976e-008	-0.000479982
-9.73976e-008	-0.000479982
-9.71976e-008	-0.000639975
-9.69976e-008	-0.000319988
-9.67976e-008	0.000319988
-9.65976e-008	0.000159994
-9.63976e-008	-0.000479982
-9.61976e-008	-0.000479982
-9.59976e-008	0
-9.57976e-008	-0.000319988
-9.55976e-008	0
-9.53976e-008	-0.000159994
-9.51976e-008	-0.000319988
-9.49976e-008	-0.000319988
-9.47976e-008	-0.000479982
-9.45976e-008	-0.000639975
-9.43976e-008	-0.000319988
-9.41976e-008	-0.000479982
-9.39976e-008	-0.000319988
-9.37976e-008	0
-9.35976e-008	-0.000159994
-9.33976e-008	-0.000479982
-9.31976e-008	-0.000479982
-9.29976e-008	-0.000319988
-9.27976e-008	-0.000159994
-9.25976e-008	-0.000479982
-9.23976e-008	-0.000159994
-9.21976e-008	0
-9.19976e-008	-0.000319988
-9.17976e-008	-0.000319988
-9.15976e-008	-0.000159994
-9.13976e-008	-0.000639975
-9.11976e-008	-0.000319988
-9.09976e-008	-0.000159994
-9.07976e-008	-0.000319988
-9.05976e-008	-0.000479982
-9.03976e-008	-0.000479982
-9.01976e-008	-0.000319988
-8.99976e-008	-0.000159994
-8.97976e-008	0
-8.95976e-008	0.000319988
-8.93976e-008	0.000159994
-8.91976e-008	0.000159994
-8.89976e-008	0
-8.87976e-008	-0.000479982
-8.85976e-008	-0.000159994
-8.83976e-008	-0.000639975
-8.81976e-008	-0.000159994
-8.79976e-008	0
-8.77976e-008	0
-8.75976e-008	0
-8.73976e-008	-0.000639975
-8.71976e-008	-0.000639975
-8.69976e-008	-0.000319988
-8.67976e-008	0
-8.65976e-008	-0.000159994
-8.63976e-008	-0.000639975
-8.61976e-008	-0.000319988
-8.59976e-008	-0.000319988
-8.57976e-008	-0.000319988
-8.55976e-008	-0.000479982
-8.53976e-008	-0.000159994
-8.51976e-008	-0.000319988
-8.49976e-008	-0.000159994
-8.47976e-008	-0.00111996
-8.45976e-008	-0.000479982
-8.43976e-008	-0.000479982
-8.41976e-008	-0.000639975
-8.39976e-008	-0.000319988
-8.37976e-008	0.000319988
-8.35976e-008	-0.000159994
-8.33976e-008	-0.000799969
-8.31976e-008	-0.000639975
-8.29976e-008	-0.000639975
-8.27976e-008	-0.000319988
-8.25976e-008	-0.000159994
-8.23976e-008	-0.000159994
-8.21976e-008	-0.000159994
-8.19976e-008	-0.000479982
-8.17976e-008	-0.000479982
-8.15976e-008	0.000159994
-8.13976e-008	0.000319988
-8.11976e-008	0
-8.09976e-008	-0.000479982
-8.07976e-008	0
-8.05976e-008	0.000479982
-8.03976e-008	-0.000159994
-8.01976e-008	-0.000319988
-7.99976e-008	0
-7.97976e-008	0.000159994
-7.95976e-008	-0.000159994
-7.93976e-008	0
-7.91976e-008	-0.000319988
-7.89976e-008	-0.000479982
-7.87976e-008	-0.000159994
-7.85976e-008	-0.000479982
-7.83976e-008	-0.000319988
-7.81976e-008	-0.000319988
-7.79976e-008	-0.000319988
-7.77976e-008	0.000159994
-7.75976e-008	0
-7.73976e-008	-0.000319988
